Time,NO_1,NO_2,NO_3,NO_4,NO_5
346,7589,6636,4502,2595,2959
347,7514,6552,4481,2642,2919
348,7449,6417,4429,2655,2901
349,7251,6288,4390,2580,2850
350,7201,6181,4368,2618,2817
351,7211,6168,4375,2608,2824
352,7457,6292,4373,2586,2855
353,7570,6360,4378,2614,2873
354,7519,6355,4309,2530,2875
355,7400,6245,4256,2494,2856
356,7173,6122,4169,2509,2801
357,6981,6020,4098,2456,2748
358,6784,5881,4000,2392,2713
359,6612,5760,3805,2285,2646
360,6472,5595,3916,2659,2544
361,6343,5577,3742,2668,2534
362,6293,5521,3646,2514,2485
363,6262,5535,3644,2478,2473
364,6263,5515,3746,2463,2485
365,6318,5510,3745,2437,2500
366,6444,5579,3794,2474,2545
367,6634,5656,3896,2308,2596
368,6914,5853,4033,2400,2762
369,7170,5995,4227,2464,2900
370,7301,6027,4291,2487,2796
371,7265,6094,4351,2516,2780
372,7162,6002,4166,2518,2740
373,7085,5971,3884,2543,2725
374,7031,5951,3869,2530,2681
375,7163,5988,4029,2493,2688
376,7404,6130,4230,2467,2759
377,7519,6248,4320,2504,2782
378,7517,6220,4230,2483,2786
379,7368,6106,4174,2423,2755
380,7168,5926,4099,2422,2646
381,6955,5795,4066,2361,2597
382,6748,5667,4002,2340,2547
383,6566,5538,3943,2269,2477
384,6378,5441,3764,2230,2449
385,6188,5353,3704,2190,2354
386,6107,5255,3699,2170,2234
387,6073,5307,3703,2194,2217
388,6054,5278,3628,2224,2238
389,6087,5302,3575,2214,2378
390,6181,5375,3509,2269,2416
391,6270,5463,3575,2308,2469
392,6480,5618,3615,2394,2473
393,6716,5756,3669,2430,2528
394,6826,5820,3767,2458,2585
395,6846,5849,3793,2482,2592
396,6831,5807,3755,2483,2601
397,6846,5826,3728,2480,2585
398,6835,5892,3748,2545,2623
399,6909,5894,3870,2608,2636
400,7087,5951,3893,2598,2652
401,7109,5975,3880,2627,2678
402,7065,5891,4134,2589,2629
403,6950,5784,4088,2517,2591
404,6814,5728,4029,2475,2567
405,6616,5599,4028,2479,2549
406,6318,5482,3904,2507,2500
407,6099,5397,3871,2500,2440
408,5904,5312,3830,2391,2389
409,5805,5260,3721,2379,2324
410,5733,5233,3688,2369,2307
411,5729,5164,3682,2403,2304
412,5756,5174,3705,2384,2311
413,5919,5210,3832,2423,2403
414,6472,5499,4018,2512,2408
415,7035,5824,4126,2686,2610
416,7343,6014,4207,2792,2706
417,7307,6117,4351,2797,2704
418,7224,6091,4298,2768,2691
419,7244,6163,4251,2784,2686
420,7213,6174,4223,2784,2583
421,7258,6053,4174,2802,2699
422,7190,5974,4191,2806,2688
423,7216,5964,4224,2844,2672
424,7409,6007,4308,2810,2690
425,7319,6019,4363,2783,2663
426,7126,5932,4245,2740,2640
427,6946,5856,4238,2682,2589
428,6809,5690,3860,2619,2566
429,6632,5623,3936,2628,2521
430,6322,5481,3850,2519,2438
431,6001,5327,3887,2475,2325
432,5772,5204,3815,2443,2286
433,5612,5113,3810,2418,2251
434,5578,5073,3632,2396,2216
435,5516,5131,3636,2378,2242
436,5529,5207,3598,2418,2248
437,5712,5245,3596,2476,2267
438,6232,5676,3723,2580,2405
439,6845,5976,3903,2703,2560
440,7045,6181,3981,2767,2645
441,7018,6291,4014,2765,2672
442,7032,6220,4010,2780,2649
443,6961,6178,4250,2805,2675
444,6960,6135,4159,2787,2639
445,6860,6040,4127,2790,2605
446,6860,6022,4051,2806,2585
447,6869,5949,4215,2840,2601
448,7021,6001,4228,2847,2645
449,6981,5997,4164,2798,2700
450,6859,5977,4095,2755,2668
451,6719,5902,4108,2673,2608
452,6535,5867,4005,2627,2513
453,6316,5742,3940,2658,2479
454,6046,5518,3934,2634,2396
455,5731,5200,3848,2584,2364
456,5468,5249,3731,2504,2301
457,5301,5188,3780,2487,2254
458,5228,5177,3820,2562,2200
459,5187,5189,3816,2603,2228
460,5203,5199,3812,2502,2249
461,5395,5203,3690,2450,2300
462,5919,5461,3811,2591,2403
463,6551,5869,3989,2797,2576
464,6759,6004,4090,2780,2651
465,6681,5996,4128,2790,2610
466,6663,6020,4246,2785,2606
467,6695,5939,4069,2805,2556
468,6606,5879,4071,2741,2510
469,6587,5935,4102,2746,2549
470,6563,6046,4101,2812,2559
471,6627,6116,4164,2871,2503
472,6759,6187,4215,2879,2628
473,6748,5994,4134,2836,2599
474,6580,5795,4080,2732,2519
475,6448,5633,4053,2737,2461
476,6258,5562,3894,2654,2459
477,6049,5389,3969,2715,2385
478,5822,5197,3833,2661,2326
479,5544,4986,3725,2557,2246
480,5271,4831,3688,2513,2257
481,5091,4725,3643,2421,2212
482,4976,4646,3613,2432,2191
483,4929,4655,3609,2416,2196
484,4980,4781,3613,2556,2175
485,5078,4852,3673,2574,2209
486,5551,5111,3798,2633,2324
487,6052,5450,3960,2803,2505
488,6269,5555,4021,2909,2500
489,6230,5525,4115,2977,2490
490,6179,5627,4194,2952,2499
491,5920,5521,4125,2945,2460
492,6182,5474,4075,2935,2482
493,6231,5452,4021,2931,2443
494,6252,5597,3956,2954,2440
495,6212,5695,3948,2941,2440
496,6403,5609,3957,2914,2391
497,6398,5604,3993,2886,2336
498,6422,5751,3922,2777,2439
499,6141,5732,3834,2752,2351
500,6011,5596,3887,2763,2359
501,5826,5396,3855,2756,2295
502,5541,5258,3728,2741,2274
503,5288,5118,3712,2712,2157
504,5044,4908,3553,2682,2128
505,4890,4765,3483,2651,2010
506,4831,4679,3392,2609,2027
507,4784,4636,3346,2609,2028
508,4838,4672,3315,2623,2054
509,4949,4889,3357,2889,2072
510,5399,5417,3564,2798,2300
511,5876,5601,3899,2894,2452
512,6137,5739,4074,2967,2476
513,6132,5768,4016,3005,2430
514,6108,5626,3977,2999,2465
515,6072,5547,3957,2967,2549
516,6062,5590,3901,2968,2510
517,6046,5558,3873,2932,2402
518,6008,5509,3881,2925,2366
519,6023,5425,3923,2967,2412
520,6137,5270,3895,3024,2430
521,6107,5000,3854,2955,2436
522,5991,5152,3853,2879,2408
523,5854,5116,3748,2854,2370
524,5639,5046,3731,2819,2311
525,5415,4873,3667,2770,2303
526,5203,4858,3619,2738,2245
527,4992,4595,3551,2655,2190
528,4744,4592,3521,2619,2163
529,4576,4439,3475,2608,2159
530,4439,4328,3567,2598,2131
531,4372,4438,3539,2590,2121
532,4399,4543,3626,2618,2091
533,4427,4582,3576,2600,2125
534,4555,4584,3546,2667,2158
535,4629,4910,3437,2794,2155
536,4901,5020,3498,2799,2211
537,5091,5103,3778,2721,2272
538,5288,5282,3739,2847,2370
539,5343,5170,3768,2857,2370
540,5330,5121,3710,2831,2337
541,5263,5058,3793,2834,2353
542,5251,4967,3793,2827,2351
543,5384,5091,3785,2808,2389
544,5654,5231,3850,2784,2439
545,5831,5372,3938,2804,2507
546,5818,5409,3973,2849,2489
547,5725,5375,3968,2851,2450
548,5603,5248,3797,2803,2354
549,5470,5085,3820,2778,2320
550,5297,5016,3758,2721,2337
551,5113,4923,3635,2680,2240
552,4922,4852,3611,2636,2247
553,4811,4808,3486,2612,2183
554,4724,4714,3379,2699,2182
555,4701,4717,3309,2687,2177
556,4702,4752,3343,2621,2173
557,4735,4789,3289,2553,2193
558,4870,4874,3353,2520,2193
559,4997,4974,3528,2554,2234
560,5213,5113,3469,2559,2302
561,5447,5262,3570,2627,2281
562,5620,5351,3664,2688,2088
563,5749,5365,3593,2751,2117
564,5777,5320,3547,2790,2111
565,5793,5281,3431,2781,2071
566,5826,5315,3450,2817,2109
567,5896,5432,3538,2826,2126
568,6079,5558,3704,2854,2155
569,6047,5634,3765,2840,2235
570,5950,5606,3607,2838,2246
571,5862,5575,3611,2853,2189
572,5770,5527,3672,2825,2292
573,5651,5400,3620,2803,2345
574,5495,5259,3613,2796,2346
575,5357,5136,3659,2702,2293
576,5152,5039,3481,2654,2269
577,5040,4982,3616,2587,2242
578,5013,4985,3696,2554,2241
579,5036,5033,3703,2561,2251
580,5089,5094,3575,2592,2317
581,5324,5189,3656,2629,2355
582,5863,5556,3778,2691,2512
583,6464,5976,4123,2833,2673
584,6768,6087,4353,2917,2771
585,6797,6070,4257,2956,2766
586,6742,6070,4076,2966,2788
587,6739,6016,4078,2940,2745
588,6798,5929,3970,2976,2705
589,6807,5817,4050,3000,2637
590,6759,5821,4071,3025,2628
591,6843,5875,4074,3040,2632
592,7041,5980,4155,3023,2673
593,7107,5999,4226,2925,2688
594,7029,5984,4259,2854,2688
595,6916,5965,4222,2853,2697
596,6776,5859,4142,2838,2673
597,6628,5743,3968,2807,2649
598,6444,5584,4009,2768,2607
599,6194,5359,3897,2646,2447
600,6019,5226,3721,2635,2373
601,5901,5187,3655,2570,2343
602,5823,5158,3625,2590,2336
603,5851,5152,3528,2541,2289
604,5917,5280,3533,2540,2322
605,6230,5374,3650,2588,2361
606,6691,5709,3737,2654,2441
607,7294,6114,4030,2803,2604
608,7571,6362,4090,2918,2688
609,7555,6357,3899,2849,2706
610,7314,6332,3967,2827,2752
611,7207,6178,3988,2801,2684
612,7074,6089,4011,2817,2701
613,6938,5962,4063,2848,2632
614,6892,5931,4045,2855,2606
615,6949,5862,4107,2924,2635
616,7236,6055,4175,2911,2682
617,7352,6126,4016,2870,2748
618,7295,6096,3948,2875,2690
619,7164,6006,3866,2898,2673
620,7015,5945,3851,2848,2665
621,6847,5856,3836,2822,2619
622,6699,5747,3540,2698,2562
623,6395,5598,3536,2630,2492
624,6177,5396,3447,2633,2443
625,6098,5370,3438,2596,2370
626,6034,5364,3375,2564,2374
627,6013,5346,3298,2527,2359
628,6014,5403,3364,2542,2389
629,6279,5504,3520,2566,2375
630,6838,5869,3483,2668,2486
631,7397,6239,3967,2870,2683
632,7669,6413,4009,2863,2753
633,7654,6455,4062,2825,2839
634,7578,6445,4071,2812,2850
635,7418,6297,3990,2811,2776
636,7245,6224,3972,2857,2685
637,7085,6133,3887,2939,2691
638,7072,6095,3770,2867,2637
639,7167,6030,3820,2897,2656
640,7373,6127,3924,2851,2701
641,7464,6220,4054,2753,2783
642,7405,6193,4088,2724,2730
643,7274,6116,4313,2692,2753
644,7111,6050,4230,2654,2750
645,6973,5945,3961,2710,2723
646,6741,5788,3859,2585,2617
647,6498,5587,3741,2535,2549
648,6216,5417,3651,2455,2430
649,6085,5363,3659,2423,2443
650,6076,5363,3433,2398,2415
651,6091,5401,3427,2360,2385
652,6193,5495,3469,2387,2394
653,6375,5594,3530,2468,2503
654,6892,5961,3717,2507,2617
655,7483,6421,3971,2629,2762
656,7710,6584,3990,2669,2804
657,7716,6564,3950,2670,2825
658,7665,6498,3907,2678,2860
659,7526,6406,3915,2692,2828
660,7359,6215,3919,2687,2820
661,7230,6137,3841,2711,2755
662,7131,6077,3843,2709,2772
663,7218,6109,3679,2674,2765
664,7429,6225,3785,2692,2759
