"DSO","node","pop_density","x","y","lon","lat"
181,1347,1.4112474656105,4825000,5365000,23.7623814797458,70.9720297123489
181,420,0.757904478226708,4835000,5365000,24.0272497958602,70.9536872346006
181,420,0.724990436259438,4845000,5365000,24.291654886552,70.9350018023292
181,420,1.32861611959727,4855000,5365000,24.5555895757227,70.9159743783916
181,420,0.83010557619168,4865000,5365000,24.8190467822406,70.8966059393464
181,425,0.5904977585919,4875000,5365000,25.0820195207807,70.8768974752115
181,425,2.30469613611151,4885000,5365000,25.3445009026208,70.8568499892189
181,425,5.43744963100978,4895000,5365000,25.6064841363935,70.8364644975693
181,305,9.43601826713199,4905000,5365000,25.8679625287953,70.8157420291838
182,305,4.70386396978319,4915000,5365000,26.1289294852514,70.7946836254559
183,305,1.30014090886857,4925000,5365000,26.389378510538,70.7732903400012
