from,to,type,No,voltage,distance
176,177,1,-1,145,17618.8245800481
47,180,1,-1,132,23338.5570193487
104,106,1,-1,145,55837.6702646336
182,183,1,-1,132,38521.8325827786
138,182,1,-1,132,34034.9250644768
142,184,1,-1,132,56543.4887925424
97,177,1,-1,145,38180.9025166323
97,176,1,-1,145,20699.0405270995
19,21,1,-1,132,14891.7784855817
19,21,1,-1,132,14892.1655121041
20,47,1,-1,132,34977.2911654185
20,180,1,-1,132,34034.6097064751
152,164,1,-1,132,39589.6447160713
186,187,1,-1,132,63803.0473410912
113,192,1,-1,132,47078.2992230273
126,143,1,-1,132,20474.5761299737
139,144,1,-1,145,32054.3255733323
19,21,1,-1,132,16316.1037262783
120,179,1,-1,145,21427.6112571473
24,110,1,-1,132,41034.4487780126
111,153,1,-1,132,22553.0443952516
188,189,1,-1,132,26426.75785826
80,189,1,-1,132,25661.2013596868
80,189,1,-1,132,25612.0983138749
166,193,1,-1,132,21317.0775541015
158,194,1,-1,132,35911.8160545426
134,147,1,-1,132,41758.1926180635
188,189,1,-1,132,26488.9430778956
96,195,1,-1,132,31205.8735742015
147,196,1,-1,132,54006.9711182359
113,196,1,-1,132,37685.8837398457
184,186,1,-1,132,54536.9378263172
40,112,1,-1,132,15431.0176064711
177,178,1,-1,145,23130.7247655093
104,177,1,-1,145,31420.1716517564
44,154,1,-1,132,25993.0644719671
100,156,1,-1,132,22338.2820294919
100,156,1,-1,132,22341.9740261112
44,154,1,-1,132,22268.4137005294
44,154,1,-1,132,22605.0125265986
19,21,1,-1,275,26686.4070373522
24,110,1,-1,132,25868.3761046208
24,110,1,-1,132,25851.2033970335
126,158,1,-1,132,31569.624636241
126,158,1,-1,132,31049.8108588366
20,180,1,-1,132,34026.8959929479
93,181,1,-1,132,34597.585718587
166,191,1,-1,132,23016.8235036125
159,160,1,-1,132,49298.2137186143
159,197,1,-1,132,35762.8455348669
194,197,1,-1,132,25405.1604102152
126,194,1,-1,132,27891.2506378552
124,143,1,-1,132,47285.0811000411
138,182,1,-1,132,31739.0718427859
106,185,1,-1,145,44616.0152351833
20,166,1,-1,132,26962.7034250114
104,175,1,-1,145,42859.7810822601
103,119,1,-1,145,9909.01112869342
103,119,1,-1,145,9911.21125697251
18,190,1,-1,132,22797.4755590467
17,193,1,-1,132,23413.2031379902
25,140,1,-1,132,49536.4527496733
180,191,1,-1,132,35261.9979810065
27,167,1,-1,132,36944.4882888901
97,179,1,-1,145,19234.9928104804
114,120,1,-1,145,27726.4269856505
114,120,1,-1,145,27687.0498548975
13,169,1,-1,132,50310.3927806808
27,167,1,-1,132,26045.7315631118
167,170,1,-1,132,24804.545417023
200,201,1,-1,132,9786.41291816037
104,109,1,-1,145,17246.499333083
104,178,1,-1,145,33534.6260510236
176,177,1,-1,145,28510.7415695079
102,202,1,-1,132,34663.5151123035
102,202,1,-1,132,33814.6171378058
102,202,1,-1,132,33768.3679399909
203,204,1,-1,132,48260.3823373933
61,199,1,-1,132,23276.4410283299
206,207,1,-1,132,28812.9121568964
62,207,1,-1,132,32816.0492225227
62,207,1,-1,132,34478.9627596331
62,207,1,-1,132,35481.6302323518
1,13,1,-1,132,61993.2255771339
106,107,1,-1,145,44180.0974607425
106,107,1,-1,145,44234.897116275
104,119,1,-1,145,107921.548351506
104,119,1,-1,145,107942.049119447
40,71,1,-1,132,44733.4989888202
62,204,1,-1,132,50070.1146069562
62,204,1,-1,132,46332.7940877761
172,205,1,-1,132,39470.0663605243
199,205,1,-1,132,36167.3380958185
61,203,1,-1,132,24657.8215881169
208,209,1,-1,132,41159.6574546058
25,208,1,-1,132,42112.390383513
135,210,1,-1,132,35049.0639062463
26,208,1,-1,132,47820.3422788986
27,201,1,-1,132,37115.1617453398
20,21,1,-1,132,29758.4802417565
20,21,1,-1,132,29763.1390657861
90,91,1,-1,132,27429.9846804503
101,211,1,-1,132,37776.2254077853
101,212,1,-1,132,34562.9337810351
101,212,1,-1,132,34449.8734150195
174,213,1,-1,132,37636.1048186957
212,213,1,-1,132,28325.2904868041
130,211,1,-1,132,43544.6505795611
104,174,1,-1,132,37922.9756083752
104,174,1,-1,132,37865.537493234
145,146,1,-1,132,31511.9619756703
27,167,1,-1,132,26058.7623381124
167,170,1,-1,132,24338.5342180926
27,170,1,-1,132,54056.353430158
27,170,1,-1,132,54073.8017135209
27,201,1,-1,132,48595.7273401742
200,201,1,-1,132,13133.966868181
1,13,1,-1,132,61151.3502105259
17,19,1,-1,380,24221.996425852
200,201,1,-1,132,13117.1486513136
27,201,1,-1,132,34078.9246851801
152,163,1,-1,132,40236.5732066155
99,184,1,-1,300,88455.1573481062
99,214,1,-1,300,62414.2928592876
150,162,1,-1,132,19933.0441105
112,195,1,-1,132,37309.7230434198
60,163,1,-1,132,40025.5851148071
51,173,1,-1,132,25521.8810698247
51,60,1,-1,132,46847.1381073965
59,105,1,-1,132,52698.5967327909
90,216,1,-1,132,28149.2083749571
50,59,1,-1,132,38384.9255365272
74,146,1,-1,132,38986.7139042673
17,19,1,-1,145,35785.16379382
51,121,1,-1,132,32027.9419494812
128,217,1,-1,132,39094.7265040645
150,172,1,-1,132,38681.6719135725
8,198,1,-1,132,16563.1967546915
73,105,1,-1,132,24419.4352243865
104,109,1,-1,145,16534.7736100005
104,109,1,-1,145,16509.0147073375
96,195,1,-1,132,31205.0980926827
9,218,1,-1,132,44153.3019648932
121,172,1,-1,132,34045.7194972098
19,21,1,-1,132,20721.9875128692
20,21,1,-1,132,32521.5732065311
20,21,1,-1,132,32512.72810557
71,149,1,-1,132,33098.5559442514
72,148,1,-1,132,27835.8086673159
70,148,1,-1,132,61204.4532073949
112,195,1,-1,132,37270.7089296298
97,176,1,-1,145,20897.9906529671
121,215,1,-1,132,19201.6671679699
19,21,1,-1,132,20708.4941244158
34,219,1,-1,132,30971.2183477887
130,146,1,-1,132,31643.466642701
130,146,1,-1,132,31686.5759209061
101,211,1,-1,132,37762.0921552076
11,12,1,-1,145,43132.5349375042
