NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
-22.305281  12.752290   1.698182   1.031342   4.380604   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.274550  13.062478   1.638923   1.048644   3.966016   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.323300  13.748292   2.138690   1.057981   3.956189   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.275116  14.096071   2.506344   1.067596   3.971866   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.058278  13.889254   2.500104   1.012635   4.101526   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.303320  13.835640   2.226967   1.002777   4.007222   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.053147  13.166937   1.932415   1.008638   4.289686   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.784983  11.222897   1.749088   0.954610   4.184465   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.310880  10.874815   1.764476   1.023285   3.738763   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.762577  10.796364   1.737640   1.007276   3.981034   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.358584  10.925129   1.781645   1.012406   3.868786   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.123356  10.682906   1.607119   1.014983   3.771370   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.684926  10.261702   1.247072   1.006693   4.573010   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.555279  10.461127   1.223782   0.961784   4.333905   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.232873  10.349032   0.967609   0.947494   4.154875   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-28.622038   9.880909   1.373058   0.850853   3.320027   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.010592  10.824384   1.509004   0.759715   3.362277   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.783633  10.531647   1.577362   0.762555   3.128720   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.319943  10.774494   1.577574   0.867724   2.440662   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.513076  10.225756   1.740954   0.865672   2.425157   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.423033  10.274542   1.994198   0.868928   2.337499   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.162719  10.446663   2.082810   0.737700   2.949843   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.681604  10.868792   2.391217   0.830850   3.198442   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.798969   9.988729   2.038568   0.987630   3.484045   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.698037   9.993710   2.025552   1.117212   4.502923   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.813648  10.023228   1.911484   0.981790   4.315085   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.774021  10.014974   1.891379   1.139439   3.941118   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.656981   9.903133   1.924918   1.094377   3.909051   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.656850   9.819235   1.954662   0.974500   3.914852   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.686334   9.655539   1.945464   0.859085   4.150262   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.412128  10.028575   1.850933   0.894424   4.088679   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.712770   9.747505   1.918310   0.858219   4.302527   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.820253   9.747327   1.992518   0.868101   4.324391   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
