NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
-23.395919  10.784435   1.811862   0.938538   3.362774   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-28.801371   9.993424   0.761603   0.844248   3.491315   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.478981  10.361913   1.630840   0.797785   3.876144   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.424366  10.826998   0.933041   0.785778   4.266608   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.827081  12.071106   1.133039   0.820329   4.605867   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.256824   7.979571   2.109037   0.797283   4.829448   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-11.495475   8.574868   1.355308   0.965720   5.030138   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-7.280849  6.367477  1.224049  0.920308  3.286140  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-7.476992  6.314693  1.034202  0.952655  2.690901  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-7.519706  5.918698  0.980010  0.955643  3.290360  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-7.666429  5.560421  0.167328  0.981532  3.574786  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-11.625865   9.271717   0.251911   0.962066   4.458911   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.862645  10.004719   1.583545   0.942162   4.689328   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.317209  10.193509   1.712012   0.936269   4.257295   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.877147   7.359176   1.637321   0.975900   4.528653   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.313520   7.516206   1.562075   0.971602   3.303753   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.007389   7.870412   1.925132   0.906052   3.232206   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.460949   9.141529   1.377822   0.957523   3.331399   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.975155   8.080761   1.118055   0.885584   3.306242   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-7.016590  5.086596  0.623949  0.913156  2.376386  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-6.480146  3.997944  0.495916  0.877092  2.678175  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-6.105149  3.728068  0.725183  1.012373  1.983305  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-6.107091  4.359650  0.520878  0.972164  2.330195  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-6.697147  4.919639  1.403962  0.747465  4.209455  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-8.108191  5.030057  1.238947  0.845759  2.438685  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-11.275384   4.624788   1.314188   0.778594   2.237383   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-28.364817  10.431911   1.048117   0.995517   4.029259   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-13.912940   7.914583   0.673995   0.908261   5.308840   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-16.232785   6.923096   1.781515   0.917331   5.382463   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-11.156718   5.416746   1.260598   0.893264   5.650228   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-8.872042  3.660189  1.626111  0.882715  3.971221  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-9.058590  3.993489  1.142766  0.973124  4.481121  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-8.917442  2.472033  1.641235  1.002957  3.887730  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-9.083749  4.006747  1.318081  0.927520  5.726121  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-9.244574  4.213808  0.724044  1.212652  5.675945  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-25.398346   4.401366   0.455630   1.102026   5.303796   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-30.866511  10.869045  -0.146999   1.383652   4.249114   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.155750  10.166030  -0.323124   1.507383   4.114305   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-33.606958   9.949758  -0.251742   1.583996   3.965938   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-31.802049   9.951126  -0.547632   2.193729   4.203682   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.355500   9.359946  -0.171899   2.376368   4.031879   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.732114   8.926144   0.227202   2.766702   4.000882   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.805406   7.899237   0.028060   2.109737   4.024349   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-28.224071   6.917632   1.866680   1.564233   3.767600   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.248374  10.562810   0.884060   1.239580   2.831790   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.588920  11.148934   1.511972   1.311938   2.299139   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.702130  11.198085   0.895203   1.170132   1.199778   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.374289  11.279195   1.255990   1.200808   2.152523   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.640951   9.210824   1.394312   1.151856   2.718151   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-28.209844   8.729765   2.185242   1.821050   3.680012   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-29.017893   9.646268   2.589691   1.404543   4.065781   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-33.008269   9.692368   2.416247   2.035049   4.548436   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-28.419102   9.737859   2.127985   1.271177   4.048995   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.894026   9.240971   2.207954   2.573373   4.058879   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.614618  11.623739   1.885575   1.556085   2.974351   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.755805   8.916652   1.903079   1.319903   4.025524   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.523016   9.432420   1.670796   1.376839   4.019036   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.185075   9.405241   1.708323   1.182459   4.014401   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.378617   9.408014   1.647792   1.232057   4.024955   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.115645   9.338817   1.648601   1.352484   4.003656   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.124422   9.374131   1.635588   1.351129   3.998670   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-29.814679   9.497358   2.010113   1.512955   4.197689   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-30.511250   9.418040   1.882850   1.376997   4.246231   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.997340   9.372883   1.935380   1.375464   4.462909   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.724456   9.228203   2.020893   1.320072   4.143067   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.227515   9.860522   1.824016   1.162320   3.838361   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.345823   9.748410   1.652687   1.351920   3.859209   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-21.291209   9.988831   1.636804   0.854369   4.502048   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-20.060599   9.722519   1.122228   0.924808   4.183958   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.227010  10.690721   2.529172   0.811583   3.421337   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.035950  10.737071   1.510698   0.809402   3.107113   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.911931  10.345725   2.645201   0.724254   2.941473   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.564114  10.145348   2.329857   0.716714   3.106135   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.486421   9.365199   1.537972   0.868676   3.647173   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.645533   9.208783   2.119458   0.963331   4.293252   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.276307   8.647054   1.956545   0.984697   4.862400   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.008043   9.529186   1.772153   1.023366   4.991465   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.782952  10.557767   1.581460   1.120950   5.215543   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.691079  10.128331   2.233679   0.979105   5.337030   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.780041  10.693814   1.878864   1.126504   5.322371   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.839476  11.396693   1.739432   1.215932   4.443498   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.756303  10.806059   1.739160   1.040387   4.284621   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-27.055471  10.476853   1.719309   0.992293   4.174452   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.791104  10.415825   1.693929   0.933914   4.169660   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.483960  10.448641   1.674104   0.907290   4.261423   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
