Edge_0 Edge_1 Edge_2 Edge_3 Edge_4 Edge_5 Edge_6 Edge_7 Edge_8 Edge_9 Edge_10 Edge_11 Edge_12 Edge_13 Edge_14
 1016.371471  -350.000000 -2102.581525  -357.436535  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
 1096.379147  -350.000000 -2089.343224  -567.570588  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1081.048949   500.000000   600.000000    -0.000000   200.000000   200.000000
 1053.446419  -350.000000 -2120.939805  -639.570588  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
  985.645627  -350.000000 -2152.395347  -483.570588  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
  959.134809  -350.000000 -2276.348224   -13.436535  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
 1215.168712  -350.000000 -3795.579108   925.563465  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
  881.063421  -350.000000 -3900.000000  1272.563465  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
  333.611252  -350.000000 -3900.000000  1300.000000  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
  661.744064  -350.000000 -3900.000000  1300.000000  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
  456.963188  -350.000000 -3900.000000  1300.000000  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
  356.191567  -350.000000 -3900.000000  1300.000000  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
  389.286260  -350.000000 -3900.000000  1300.000000  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
  346.288613  -350.000000 -3900.000000  1300.000000  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
  376.141972  -350.000000 -3900.000000  1300.000000  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
  289.853714  -350.000000 -3900.000000  1300.000000  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
  192.102327  -350.000000 -3900.000000  1300.000000  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
  173.373874  -350.000000 -3900.000000  1300.000000  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
  258.453163  -350.000000 -3900.000000  1300.000000  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
  386.285967  -350.000000 -3900.000000  1300.000000  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
  576.057880  -350.000000 -3900.000000  1300.000000  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
  734.143814  -350.000000 -3900.000000  1300.000000  -500.000000   800.000000  1000.000000   720.000000   100.000000 -1100.000000   500.000000   600.000000    -0.000000   200.000000   200.000000
